Date,EPS 
2016-12-31,-6.78
2016-9-30,1.49
2016-6-30,0.13
2016-3-31,1.66
2015-12-31,1.62
2015-9-30,3.41
2015-6-30,0.92
2015-3-31,-0.61
2014-12-31,1.91
2014-9-30,0.89
2014-6-30,0.04
2014-3-31,1.1
2013-12-31,0.59
2013-9-30,1.94
2013-6-30,0.37
2013-3-31,0.66
2012-12-31,1.78
2012-9-30,1.0
2012-6-30,1.27
2012-3-31,-5.2
2011-12-31,-4.81
2011-9-30,2.25
2011-6-30,0.7
2011-3-31,1.33
2010-12-31,1.8
2010-9-30,2.04
2010-6-30,1.84
2010-3-31,2.0
2009-12-31,1.65
2009-9-30,1.79
2009-6-30,2.11
2009-3-31,1.99
2008-12-31,1.61
2008-9-30,1.2
2008-6-30,0.85
2008-3-31,0.57
2007-12-31,0.79
2007-9-30,0.58
2007-6-30,0.58
2007-3-31,0.07
2006-12-31,0.15
2006-9-30,0.07
2006-6-30,-0.0267
2006-3-31,-0.0267
2005-12-31,-0.14
2005-9-30,0.0033
2005-6-30,0.0033
2005-3-31,0.0033
2004-12-31,-0.0975
2004-9-30,-0.0975
