Date,EPS 
2016-12-31,-0.12
2016-9-30,-0.12
2016-6-30,-0.0696
2016-3-31,-0.207
2015-12-31,-0.14
2015-9-30,-0.07
2015-6-30,-0.027
2015-3-31,-0.0523
2014-12-31,0.01
2014-9-30,0.04
2014-6-30,0.04
2014-3-31,0.04
2013-12-31,0.07
2013-9-30,0.04
2013-6-30,-0.04
2013-3-31,0.05
2012-12-31,0.02
2012-9-30,0.07
2012-6-30,0.02
2012-3-31,0.03
2011-12-31,0.04
2011-9-30,0.02
2011-6-30,0.03
2011-3-31,0.05
2010-12-31,0.05
2010-9-30,0.03
2010-6-30,0.11
2010-3-31,0.14
2009-12-31,0.01
2009-9-30,0.17
2009-6-30,0.09
2009-3-31,0.12
2008-12-31,0.11
2008-9-30,0.15
2008-6-30,0.17
2008-3-31,0.14
2007-12-31,0.18
2007-9-30,0.14
2007-6-30,0.12
2007-3-31,0.21
2006-12-31,0.2
2006-9-30,0.4
2006-6-30,0.31
2006-3-31,0.15
2005-12-31,0.23
2005-9-30,0.11
2005-6-30,0.13
2005-3-31,0.12
2004-12-31,0.05
2004-9-30,-0.04
