Date,EPS 
2016-11-30,0.8
2016-8-31,0.67
2016-5-31,0.62
2016-2-29,0.59
2015-11-30,0.87
2015-8-31,0.69
2015-5-31,0.3
2015-2-28,0.56
2014-11-30,0.56
2014-8-31,0.55
2014-5-31,0.65
2014-2-28,0.64
2013-11-30,0.84
2013-8-31,0.7
2013-5-31,0.55
2013-2-28,0.6
2012-11-30,0.82
2012-8-31,0.82
2012-5-31,0.49
2012-2-29,0.58
2011-11-30,0.67
2011-8-31,0.61
2011-5-31,0.48
2011-2-28,0.59
2010-11-30,0.92
2010-8-31,0.7
2010-5-31,0.3
2010-2-28,0.48
2009-11-30,0.83
2009-8-31,0.62
2009-5-31,0.535
2009-2-28,0.425
2008-11-30,0.545
2008-8-31,0.395
2008-5-31,0.26
2008-2-29,0.615
2007-11-30,0.57
2007-8-31,0.405
2007-5-31,0.315
2007-2-28,0.37
2006-11-30,0.54
2006-8-31,0.37
2006-5-31,0.305
2006-2-28,0.34
2005-11-30,0.485
2005-8-31,0.32
2005-5-31,0.57
2005-2-28,0.29
2004-11-30,0.46
2004-8-31,0.225
