Date,EPS 
2016-12-31,7.59
2016-9-30,7.25
2016-6-30,7.0
2016-3-31,6.02
2015-12-31,7.07
2015-9-30,5.73
2015-6-30,4.93
2015-3-31,5.1
2014-12-31,6.79
2014-9-30,3.98
2014-6-30,4.882
2014-3-31,5.038
2013-12-31,4.67
2013-9-30,4.38
2013-6-30,4.77
2013-3-31,2.487
2012-12-31,4.304
2012-9-30,3.268
2012-6-30,4.214
2012-3-31,4.379
2011-12-31,4.119
2011-9-30,4.169
2011-6-30,3.844
2011-3-31,2.758
2010-12-31,3.914
2010-9-30,3.363
2010-6-30,2.858
2010-3-31,3.033
2009-12-31,3.073
2009-9-30,2.568
2009-6-30,2.332
2009-3-31,2.247
2008-12-31,0.6056
2008-9-30,2.032
2008-6-30,1.962
2008-3-31,2.062
2007-12-31,1.897
2007-9-30,1.692
2007-6-30,1.466
2007-3-31,1.592
2006-12-31,1.652
2006-9-30,1.181
2006-6-30,1.166
2006-3-31,0.9759
2005-12-31,0.6106
2005-9-30,0.6606
2005-6-30,0.5956
2005-3-31,0.6456
2004-12-31,0.3654
2004-9-30,0.0951
