Date,EPS 
2017-1-31,0.55
2016-10-31,0.51
2016-7-31,0.31
2016-4-30,0.32
2016-1-31,0.54
2015-10-31,0.61
2015-7-31,0.52
2015-4-30,0.56
2015-1-31,0.75
2014-10-31,0.8
2014-7-31,0.75
2014-4-30,0.58
2014-1-31,0.67
2013-10-31,0.72
2013-7-31,0.64
2013-4-30,0.71
2013-1-31,0.73
2012-10-31,0.63
2012-7-31,0.49
2012-4-30,0.47
2012-1-31,0.44
2011-10-31,0.38
2011-7-31,0.35
2011-4-30,0.4
2011-1-31,0.59
2010-10-31,0.48
2010-7-31,0.36
2010-4-30,0.45
2010-1-31,0.51
2009-10-31,0.44
2009-7-31,0.33
2009-4-30,0.31
2009-1-31,0.34
2008-10-31,0.35
2008-7-31,0.32
2008-4-30,0.34
2008-1-31,0.35
2007-10-31,0.3
2007-7-31,0.19
2007-4-30,0.22
2007-1-31,0.27
2006-10-31,0.23
2006-7-31,0.15
2006-4-30,0.28
2006-1-31,0.38
2005-10-31,0.24
2005-7-31,0.3
2005-4-30,0.31
2005-1-31,0.4
2004-10-31,0.28
