Date,EPS 
2016-12-31,2.12
2016-9-30,1.19
2016-6-30,0.75
2016-3-31,0.68
2015-12-31,-1.41
2015-9-30,0.99
2015-6-30,0.7
2015-3-31,0.82
2014-12-31,7.63
2014-9-30,0.58
2014-6-30,0.76
2014-3-31,-0.23
2013-12-31,0.85
2013-9-30,0.62
2013-6-30,0.67
2013-3-31,0.1
2012-12-31,0.0
2012-9-30,0.41
2012-6-30,0.33
2012-3-31,-0.05
2011-12-31,0.07
2011-9-30,0.6
2011-6-30,0.16
2011-3-31,0.42
2010-12-31,-0.73
2010-9-30,-0.08
2010-6-30,0.11
2010-3-31,-0.19
2009-12-31,0.45
2009-9-30,0.3
2009-6-30,-0.92
2009-3-31,-1.38
2008-12-31,-1.37
2008-9-30,0.13
2008-6-30,0.31
2008-3-31,0.6
2007-12-31,0.19
2007-9-30,2.75
2007-6-30,0.26
2007-3-31,-0.96
2006-12-31,-2.02
2006-9-30,-0.27
2006-6-30,0.01
2006-3-31,0.37
2005-12-31,-0.29
2005-9-30,0.7
2005-6-30,0.34
2005-3-31,0.35
2004-12-31,0.69
2004-9-30,0.2
