Date,EPS 
2016-12-31,1.52
2016-9-30,2.03
2016-6-30,0.41
2016-3-31,0.38
2015-12-31,1.39
2015-9-30,1.64
2015-6-30,0.33
2015-3-31,0.21
2014-12-31,1.32
2014-9-30,1.4
2014-6-30,0.26
2014-3-31,0.24
2013-12-31,0.98
2013-9-30,0.96
2013-6-30,0.28
2013-3-31,-0.05
2012-12-31,0.99
2012-9-30,1.24
2012-6-30,0.33
2012-3-31,-0.02
2011-12-31,1.04
2011-9-30,1.27
2011-6-30,0.42
2011-3-31,0.12
2010-12-31,0.98
2010-9-30,1.09
2010-6-30,0.29
2010-3-31,0.4
2009-12-31,1.09
2009-9-30,0.99
2009-6-30,0.26
2009-3-31,0.14
2008-12-31,0.61
2008-9-30,0.89
2008-6-30,0.25
2008-3-31,0.25
2007-12-31,0.81
2007-9-30,0.95
2007-6-30,0.03
2007-3-31,0.19
2006-12-31,0.61
2006-9-30,0.58
2006-6-30,0.07
2006-3-31,-0.03
2005-12-31,0.48
2005-9-30,0.47
2005-6-30,0.13
2005-3-31,-0.02
2004-12-31,0.44
2004-9-30,0.43
