Date,EPS 
2016-6-30,0.5778
2016-3-31,0.2257
2015-12-31,-1.165
2015-9-30,0.2257
2015-6-30,0.325
2015-3-31,-0.4695
2014-12-31,0.3792
2014-9-30,0.4875
2014-6-30,0.4334
2014-3-31,0.5056
2013-12-31,0.5778
2013-9-30,0.4604
2013-6-30,0.4243
2013-3-31,0.4604
2012-12-31,0.4875
2012-9-30,0.4063
2012-6-30,0.4334
2012-3-31,0.3882
2011-12-31,0.1264
2011-9-30,0.3702
2011-6-30,0.4966
2011-3-31,0.1535
2010-12-31,0.3882
2010-9-30,0.0451
2010-6-30,0.2438
2010-3-31,0.2257
2009-12-31,0.0813
2009-9-30,-0.1625
2009-6-30,0.316
2009-3-31,0.1535
2008-12-31,0.0993
2008-9-30,0.4424
2008-6-30,0.8667
2008-3-31,0.1896
2007-12-31,0.1625
2007-9-30,1.381
2007-6-30,0.2889
2007-3-31,0.6139
2006-12-31,1.345
2006-9-30,0.4695
2006-6-30,0.2347
2006-3-31,0.3431
2005-12-31,0.2347
2005-9-30,0.2618
2005-6-30,0.2528
2005-3-31,0.2528
2004-12-31,0.2799
2004-9-30,0.1986
2004-6-30,0.2438
2004-3-31,0.2799
