Date,EPS 
2016-12-31,-15.81
2016-9-30,-1.12
2016-6-30,-1.29
2016-3-31,-1.72
2015-12-31,-6.43
2015-9-30,-0.98
2015-6-30,-1.99
2015-3-31,-1.37
2014-12-31,0.09
2014-9-30,3.31
2014-6-30,2.96
2014-3-31,1.2
2013-12-31,5.71
2013-9-30,1.23
2013-6-30,4.16
2013-3-31,3.72
2012-12-31,1.1
2012-9-30,1.64
2012-6-30,1.61
2012-3-31,1.6
2011-12-31,-0.4
2011-9-30,0.88
2011-6-30,1.78
2011-3-31,2.74
2010-12-31,0.16
2010-9-30,3.52
2010-6-30,1.15
2010-3-31,1.65
2009-12-31,1.1
2009-9-30,1.05
2009-6-30,0.31
2009-3-31,-0.18
2008-12-31,-0.25
2008-9-30,2.37
2008-6-30,2.76
2008-3-31,2.34
2007-12-31,1.59
2007-9-30,1.23
2007-6-30,1.75
2007-3-31,1.17
2006-12-31,1.13
2006-9-30,0.94
2006-6-30,1.79
2006-3-31,2.22
2005-12-31,1.393
2005-9-30,0.8667
2005-6-30,0.96
2005-3-31,0.7067
2004-12-31,0.7433
2004-9-30,0.58
