Date,EPS 
2016-12-31,0.3
2016-9-30,0.33
2016-6-30,0.3
2016-3-31,0.24
2015-12-31,0.29
2015-9-30,0.08
2015-6-30,0.1
2015-3-31,0.17
2014-12-31,0.1
2014-9-30,0.1
2014-6-30,0.04
2014-3-31,-0.06
2013-12-31,-0.02
2013-9-30,-4.14
2013-6-30,-0.04
2013-3-31,-0.19
2012-12-31,0.01
2012-9-30,-0.3
2012-6-30,0.09
2012-3-31,-0.15
2011-12-31,0.08
2011-9-30,0.1
2011-6-30,0.14
2011-3-31,0.31
2010-12-31,0.04
2010-9-30,-0.53
2010-6-30,0.1
2010-3-31,0.08
2009-12-31,0.1
2009-9-30,0.1
2009-6-30,0.12
2009-3-31,-9.01
2008-12-31,0.15
2008-9-30,-0.58
2008-6-30,0.24
2008-3-31,0.22
2007-12-31,-1.655
2007-9-30,0.29
2007-6-30,0.225
2007-3-31,0.2
2006-12-31,0.15
2006-9-30,-0.025
2006-6-30,0.125
2006-3-31,0.12
2005-12-31,0.06
2005-9-30,0.105
2005-6-30,0.09
2005-3-31,0.065
2004-12-31,0.055
2004-9-30,0.0625
