Date,EPS 
2016-10-31,-0.68
2016-7-31,-0.56
2016-4-30,2.76
2016-1-31,-0.35
2015-10-31,-0.55
2015-7-31,-0.36
2015-4-30,2.68
2015-1-31,-0.13
2014-10-31,-0.41
2014-7-31,-0.42
2014-4-30,3.309
2014-1-31,-0.7833
2013-10-31,-0.3831
2013-7-31,-0.42
2013-4-30,2.423
2013-1-31,-0.0652
2012-10-31,-0.3842
2012-7-31,-0.3877
2012-4-30,1.959
2012-1-31,-0.0114
2011-10-31,-0.4726
2011-7-31,-0.5732
2011-4-30,2.12
2011-1-31,-0.0417
2010-10-31,-0.36
2010-7-31,-0.4088
2010-4-30,2.06
2010-1-31,0.15
2009-10-31,-0.38
2009-7-31,-0.4
2009-4-30,2.12
2009-1-31,0.14
2008-10-31,-0.41
2008-7-31,-0.41
2008-4-30,1.68
2008-1-31,-0.14
2007-10-31,-1.55
2007-7-31,-0.93
2007-4-30,-0.26
2007-1-31,-0.18
2006-10-31,-0.49
2006-7-31,-0.41
2006-4-30,1.77
2006-1-31,0.04
2005-10-31,-0.25
2005-7-31,-0.08
2005-4-30,1.82
2005-1-31,0.28
2004-10-31,-0.15
2004-7-31,-0.11
