Date,EPS 
2017-1-31,0.44
2016-10-31,0.45
2016-7-31,0.36
2016-4-30,0.4
2016-1-31,0.43
2015-10-31,0.35
2015-7-31,0.27
2015-4-30,0.33
2015-1-31,0.32
2014-10-31,0.32
2014-7-31,0.255
2014-4-30,0.26
2014-1-31,0.285
2013-10-31,0.29
2013-7-31,0.21
2013-4-30,0.23
2013-1-31,0.24
2012-10-31,0.245
2012-7-31,0.205
2012-4-30,0.24
2012-1-31,0.24
2011-10-31,0.215
2011-7-31,0.18
2011-4-30,0.2
2011-1-31,0.275
2010-10-31,0.225
2010-7-31,0.16
2010-4-30,0.145
2010-1-31,0.205
2009-10-31,0.1925
2009-7-31,0.1425
2009-4-30,0.1475
2009-1-31,0.15
2008-10-31,0.125
2008-7-31,0.095
2008-4-30,0.14
2008-1-31,0.16
2007-10-31,0.1825
2007-7-31,0.1025
2007-4-30,0.1225
2007-1-31,0.135
2006-10-31,0.16
2006-7-31,0.1075
2006-4-30,0.12
2006-1-31,0.125
2005-10-31,0.1475
2005-7-31,0.0925
2005-4-30,0.1
2005-1-31,0.115
2004-10-31,0.13
