Date,EPS 
2016-12-31,1.72
2016-9-30,1.63
2016-6-30,1.46
2016-3-31,1.37
2015-12-31,1.55
2015-9-30,1.52
2015-6-30,1.4
2015-3-31,1.22
2014-12-31,1.56
2014-9-30,1.34
2014-6-30,1.35
2014-3-31,1.18
2013-12-31,1.44
2013-9-30,1.23
2013-6-30,1.23
2013-3-31,1.03
2012-12-31,1.26
2012-9-30,1.08
2012-6-30,1.08
2012-3-31,0.89
2011-12-31,1.15
2011-9-30,0.99
2011-6-30,1.01
2011-3-31,0.82
2010-12-31,0.99
2010-9-30,0.94
2010-6-30,0.9
2010-3-31,0.66
2009-12-31,0.96
2009-9-30,1.05
2009-6-30,0.81
2009-3-31,0.61
2008-12-31,0.63
2008-9-30,0.74
2008-6-30,0.7
2008-3-31,0.56
2007-12-31,0.85
2007-9-30,0.65
2007-6-30,0.37
2007-3-31,0.48
2006-12-31,0.69
2006-9-30,0.44
2006-6-30,0.5
2006-3-31,0.18
2005-12-31,0.55
2005-9-30,0.26
2005-6-30,0.42
2005-3-31,0.35
2004-12-31,0.21
2004-9-30,0.35
