Date,EPS 
2016-12-31,0.17
2016-9-30,0.14
2016-6-30,0.47
2016-3-31,0.24
2015-12-31,0.21
2015-9-30,0.11
2015-6-30,0.28
2015-3-31,0.13
2014-12-31,0.33
2014-9-30,0.19
2014-6-30,0.21
2014-3-31,0.24
2013-12-31,0.16
2013-9-30,0.03
2013-6-30,0.16
2013-3-31,0.08
2012-12-31,0.02
2012-9-30,-0.05
2012-6-30,0.11
2012-3-31,0.0
2011-12-31,0.03
2011-9-30,-0.05
2011-6-30,0.09
2011-3-31,-0.09
2010-12-31,-0.01
2010-9-30,-0.09
2010-6-30,0.02
2010-3-31,-0.13
2009-12-31,-0.1202
2009-9-30,-0.094
2009-6-30,-0.12
2009-3-31,-0.12
2008-12-31,0.2014
2008-9-30,0.0881
2008-6-30,0.3327
2008-3-31,0.0979
2007-12-31,0.5284
2007-9-30,0.1761
2007-6-30,0.2642
2007-3-31,0.3425
2006-12-31,0.3523
2006-9-30,0.0685
2006-6-30,0.6067
2006-3-31,0.4305
2005-12-31,0.1859
2005-9-30,-0.0294
2005-6-30,0.2153
2005-3-31,-0.0098
2004-12-31,0.1566
2004-9-30,-0.1663
