Date,EPS 
2016-12-31,4.71
2016-9-30,2.98
2016-6-30,2.61
2016-3-31,2.09
2015-12-31,4.57
2015-9-30,3.01
2015-6-30,3.5
2015-3-31,2.35
2014-12-31,5.46
2014-9-30,0.02
2014-6-30,4.12
2014-3-31,2.29
2013-12-31,5.67
2013-9-30,3.68
2013-6-30,2.91
2013-3-31,2.7
2012-12-31,5.1
2012-9-30,3.33
2012-6-30,3.34
2012-3-31,2.61
2011-12-31,4.58
2011-9-30,3.19
2011-6-30,3.0
2011-3-31,2.31
2010-12-31,4.14
2010-9-30,2.82
2010-6-30,2.61
2010-3-31,1.97
2009-12-31,3.59
2009-9-30,2.4
2009-6-30,2.32
2009-3-31,1.7
2008-12-31,3.24
2008-9-30,2.04
2008-6-30,1.97
2008-3-31,1.64
2007-12-31,2.73
2007-9-30,1.68
2007-6-30,1.55
2007-3-31,1.21
2006-12-31,2.3
2006-9-30,1.45
2006-6-30,1.3
2006-3-31,1.08
2005-12-31,1.97
2005-9-30,0.94
2005-6-30,1.12
2005-3-31,0.84
2004-12-31,1.66
2004-9-30,0.92
