Date,EPS 
2016-12-31,0.84
2016-9-30,0.87
2016-6-30,0.82
2016-3-31,0.6
2015-12-31,0.71
2015-9-30,0.79
2015-6-30,0.69
2015-3-31,0.92
2014-12-31,1.03
2014-9-30,0.63
2014-6-30,0.31
2014-3-31,0.4
2013-12-31,0.58
2013-9-30,0.22
2013-6-30,0.26
2013-3-31,-0.18
2012-12-31,0.53
2012-9-30,0.22
2012-6-30,0.18
2012-3-31,0.2
2011-12-31,0.1
2011-9-30,0.15
2011-6-30,0.22
2011-3-31,0.16
2010-12-31,0.26
2010-9-30,0.24
2010-6-30,0.21
2010-3-31,0.16
2009-12-31,0.09
2009-9-30,0.12
2009-6-30,0.18
2009-3-31,0.14
2008-12-31,0.14
2008-9-30,-0.06
2008-6-30,0.115
2008-3-31,0.105
2007-12-31,-0.02
2007-9-30,0.12
2007-6-30,0.08
2007-3-31,-2.79
2006-12-31,0.17
2006-9-30,0.16
2006-6-30,0.07
2006-3-31,-0.0013
2005-12-31,0.005
2005-9-30,-0.015
2005-6-30,-0.23
2005-3-31,-0.015
2004-12-31,0.05
2004-9-30,-0.025
