Date,EPS 
2016-12-31,0.73
2016-9-30,0.69
2016-6-30,0.27
2016-3-31,0.42
2015-12-31,0.74
2015-9-30,0.64
2015-6-30,0.55
2015-3-31,0.41
2014-12-31,0.73
2014-9-30,0.66
2014-6-30,0.55
2014-3-31,0.38
2013-12-31,0.52
2013-9-30,0.58
2013-6-30,0.39
2013-3-31,0.4
2012-12-31,0.48
2012-9-30,0.58
2012-6-30,0.54
2012-3-31,0.53
2011-12-31,0.64
2011-9-30,0.65
2011-6-30,0.54
2011-3-31,0.56
2010-12-31,0.56
2010-9-30,0.52
2010-6-30,0.51
2010-3-31,0.43
2009-12-31,0.4
2009-9-30,0.33
2009-6-30,-0.07
2009-3-31,0.11
2008-12-31,0.04
2008-9-30,0.35
2008-6-30,0.28
2008-3-31,0.25
2007-12-31,0.39
2007-9-30,0.3
2007-6-30,0.22
2007-3-31,0.28
2006-12-31,0.26
2006-9-30,0.22
2006-6-30,0.15
2006-3-31,0.23
2005-12-31,0.4
2005-9-30,0.32
2005-6-30,0.33
2005-3-31,0.35
2004-12-31,0.33
2004-9-30,0.3
