Date,EPS 
2016-12-31,1.04
2016-9-30,0.97
2016-6-30,0.92
2016-3-31,0.88
2015-12-31,1.01
2015-9-30,0.99
2015-6-30,0.88
2015-3-31,0.78
2014-12-31,0.93
2014-9-30,0.87
2014-6-30,0.79
2014-3-31,0.58
2013-12-31,0.77
2013-9-30,0.75
2013-6-30,0.73
2013-3-31,0.61
2012-12-31,0.7
2012-9-30,0.65
2012-6-30,0.67
2012-3-31,0.57
2011-12-31,0.61
2011-9-30,0.57
2011-6-30,0.53
2011-3-31,0.4
2010-12-31,0.46
2010-9-30,0.41
2010-6-30,0.4
2010-3-31,0.29
2009-12-31,0.32
2009-9-30,0.31
2009-6-30,0.19
2009-3-31,0.24
2008-12-31,0.41
2008-9-30,0.47
2008-6-30,0.39
2008-3-31,0.28
2007-12-31,0.42
2007-9-30,0.38
2007-6-30,0.45
2007-3-31,0.3
2006-12-31,0.39
2006-9-30,0.39
2006-6-30,0.36
2006-3-31,0.31
2005-12-31,0.41
2005-9-30,0.25
2005-6-30,0.33
2005-3-31,0.29
2004-12-31,0.12
2004-9-30,0.29
