Date,EPS 
2016-12-31,0.35
2016-9-30,-1.77
2016-6-30,0.59
2016-3-31,-0.82
2015-12-31,0.69
2015-9-30,0.53
2015-6-30,0.27
2015-3-31,0.8
2014-12-31,0.76
2014-9-30,0.46
2014-6-30,0.26
2014-3-31,0.39
2013-12-31,0.69
2013-9-30,0.15
2013-6-30,0.8
2013-3-31,0.24
2012-12-31,0.52
2012-9-30,-0.07
2012-6-30,0.63
2012-3-31,0.55
2011-12-31,0.62
2011-9-30,0.48
2011-6-30,0.52
2011-3-31,0.51
2010-12-31,0.55
2010-9-30,0.39
2010-6-30,0.61
2010-3-31,0.4
2009-12-31,0.52
2009-9-30,0.5
2009-6-30,0.26
2009-3-31,-0.33
2008-12-31,-1.02
2008-9-30,0.03
2008-6-30,0.73
2008-3-31,0.48
2007-12-31,0.39
2007-9-30,0.7733
2007-6-30,0.66
2007-3-31,0.38
2006-12-31,0.27
2006-9-30,0.6067
2006-6-30,0.57
2006-3-31,0.28
2005-12-31,0.2833
2005-9-30,0.4867
2005-6-30,0.4367
2005-3-31,0.3467
2004-12-31,0.29
2004-9-30,0.47
