Date,EPS 
2016-12-31,0.49
2016-9-30,0.45
2016-6-30,0.36
2016-3-31,0.23
2015-12-31,0.5
2015-9-30,0.51
2015-6-30,0.4
2015-3-31,0.19
2014-12-31,-1.66
2014-9-30,0.23
2014-6-30,0.46
2014-3-31,0.22
2013-12-31,0.3
2013-9-30,0.19
2013-6-30,0.19
2013-3-31,0.18
2012-12-31,0.18
2012-9-30,0.03
2012-6-30,0.11
2012-3-31,0.03
2011-12-31,0.18
2011-9-30,0.16
2011-6-30,0.21
2011-3-31,0.24
2010-12-31,0.35
2010-9-30,0.25
2010-6-30,0.24
2010-3-31,0.3
2009-12-31,0.04
2009-9-30,0.16
2009-6-30,0.03
2009-3-31,-0.01
2008-12-31,0.25
2008-9-30,0.27
2008-6-30,0.22
2008-3-31,0.2
2007-12-31,0.21
2007-9-30,0.15
2007-6-30,0.15
2007-3-31,0.11
2006-12-31,0.13
2006-9-30,0.1
2006-6-30,-2.13
2006-3-31,0.13
2005-12-31,0.17
2005-9-30,0.14
2005-6-30,0.15
2005-3-31,0.13
2004-12-31,0.1
2004-9-30,0.09
