Date,EPS 
2016-12-31,0.85
2016-9-30,0.97
2016-6-30,-0.19
2016-3-31,0.3
2015-12-31,-0.53
2015-9-30,0.5
2015-6-30,0.46
2015-3-31,0.29
2014-12-31,0.55
2014-9-30,0.55
2014-6-30,0.3
2014-3-31,0.152
2013-12-31,-0.51
2013-9-30,0.73
2013-6-30,0.6904
2013-3-31,0.6171
2012-12-31,-0.08
2012-9-30,0.45
2012-6-30,0.14
2012-3-31,0.92
2011-12-31,0.68
2011-9-30,0.4
2011-6-30,0.61
2011-3-31,0.92
2010-12-31,1.11
2010-9-30,0.09
2010-6-30,0.87
2010-3-31,0.99
2009-12-31,0.9298
2009-9-30,1.08
2009-6-30,0.78
2009-3-31,-1.49
2008-12-31,-1.69
2008-9-30,-0.31
2008-6-30,9.54
2008-3-31,1.05
2007-12-31,0.73
2007-9-30,0.77
2007-6-30,0.95
2007-3-31,1.2
2006-12-31,1.11
2006-9-30,0.94
2006-6-30,0.85
2006-3-31,0.848
2005-12-31,0.0807
2005-9-30,0.4205
2005-6-30,0.68
2005-3-31,0.54
2004-12-31,0.7933
2004-9-30,0.4033
