Date,EPS 
2016-12-31,0.59
2016-9-30,0.67
2016-6-30,0.87
2016-3-31,0.63
2015-12-31,0.57
2015-9-30,0.67
2015-6-30,0.54
2015-3-31,0.5
2014-12-31,0.14
2014-9-30,0.34
2014-6-30,-0.17
2014-3-31,0.37
2013-12-31,0.04
2013-9-30,0.49
2013-6-30,0.48
2013-3-31,0.33
2012-12-31,0.5
2012-9-30,0.45
2012-6-30,0.45
2012-3-31,0.3
2011-12-31,0.06
2011-9-30,0.31
2011-6-30,0.37
2011-3-31,0.3
2010-12-31,0.21
2010-9-30,0.31
2010-6-30,0.34
2010-3-31,0.29
2009-12-31,0.22
2009-9-30,0.34
2009-6-30,0.12
2009-3-31,0.02
2008-12-31,-0.1
2008-9-30,0.2
2008-6-30,0.27
2008-3-31,0.25
2007-12-31,-1.17
2007-9-30,0.37
2007-6-30,0.33
2007-3-31,0.41
2006-12-31,0.38
2006-9-30,0.45
2006-6-30,0.45
2006-3-31,0.33
2005-12-31,0.24
2005-9-30,0.28
2005-6-30,0.41
2005-3-31,0.37
2004-12-31,0.33
2004-9-30,0.41
