Date,EPS 
2016-11-30,1.34
2016-8-31,1.01
2016-5-31,0.95
2016-2-29,0.63
2015-11-30,1.21
2015-8-31,0.96
2015-5-31,0.79
2015-2-28,0.5
2014-11-30,1.07
2014-8-31,0.78
2014-5-31,0.61
2014-2-28,0.35
2013-11-30,0.73
2013-8-31,0.54
2013-5-31,0.61
2013-2-28,0.26
2012-11-30,0.55
2012-8-31,0.4
2012-5-31,2.06
2012-2-29,0.08
2011-11-30,0.15
2011-8-31,0.11
2011-5-31,0.07
2011-2-28,0.14
2010-11-30,0.17
2010-8-31,0.16
2010-5-31,0.21
2010-2-28,-0.04
2009-11-30,0.27
2009-8-31,-0.97
2009-5-31,-0.76
2009-2-28,-0.98
2008-11-30,-5.13
2008-8-31,-0.56
2008-5-31,-0.76
2008-2-29,-0.56
2007-11-30,-7.94
2007-8-31,-3.25
2007-5-31,-1.55
2007-2-28,0.43
2006-11-30,-1.23
2006-8-31,1.3
2006-5-31,2.0
2006-2-28,1.58
2005-11-30,3.52
2005-8-31,2.06
2005-5-31,1.48
2005-2-28,1.17
2004-11-30,2.28
2004-8-31,1.36
