Date,EPS 
2016-9-30,1.88
2016-6-30,1.88
2016-3-31,2.87
2015-12-31,-2.06
2015-9-30,-3.68
2015-6-30,1.44
2015-3-31,1.25
2014-12-31,2.35
2014-9-30,1.78
2014-6-30,1.53
2014-3-31,1.9
2013-12-31,2.04
2013-9-30,2.19
2013-6-30,1.92
2013-3-31,2.09
2012-12-31,1.97
2012-9-30,1.97
2012-6-30,2.08
2012-3-31,2.01
2011-12-31,2.71
2011-9-30,2.24
2011-6-30,2.26
2011-3-31,1.85
2010-12-31,2.36
2010-9-30,2.07
2010-6-30,1.95
2010-3-31,1.87
2009-12-31,1.93
2009-9-30,2.12
2009-6-30,1.9
2009-3-31,1.66
2008-12-31,2.07
2008-9-30,1.73
2008-6-30,2.21
2008-3-31,1.51
2007-12-31,1.64
2007-9-30,1.56
2007-6-30,1.49
2007-3-31,1.29
2006-12-31,1.38
2006-9-30,1.31
2006-6-30,0.4
2006-3-31,1.13
2005-12-31,1.25
2005-9-30,1.11
2005-6-30,0.99
2005-3-31,0.86
2004-12-31,1.01
2004-9-30,0.89
2004-6-30,0.78
