Date,EPS 
2016-12-31,3.39
2016-9-30,7.93
2016-6-30,3.32
2016-3-31,2.58
2015-12-31,3.01
2015-9-30,2.77
2015-6-30,2.94
2015-3-31,2.74
2014-12-31,2.82
2014-9-30,2.76
2014-6-30,2.76
2014-3-31,2.87
2013-12-31,1.5
2013-9-30,2.66
2013-6-30,2.64
2013-3-31,2.33
2012-12-31,1.74
2012-9-30,2.21
2012-6-30,2.38
2012-3-31,2.03
2011-12-31,2.08
2011-9-30,2.1
2011-6-30,2.14
2011-3-31,1.5
2010-12-31,2.64
2010-9-30,1.54
2010-6-30,2.22
2010-3-31,1.41
2009-12-31,2.03
2009-9-30,2.07
2009-6-30,1.88
2009-3-31,1.68
2008-12-31,2.04
2008-9-30,1.92
2008-6-30,2.15
2008-3-31,1.75
2007-12-31,1.89
2007-9-30,1.8
2007-6-30,1.82
2007-3-31,1.6
2006-12-31,1.68
2006-9-30,1.46
2006-6-30,1.34
2006-3-31,1.34
2005-12-31,1.29
2005-9-30,0.96
2005-6-30,1.02
2005-3-31,0.83
2004-12-31,0.83
2004-9-30,0.69
