Date,EPS 
2016-12-31,0.37
2016-9-30,0.41
2016-6-30,0.15
2016-3-31,-0.6
2015-12-31,0.15
2015-9-30,-0.47
2015-6-30,0.04
2015-3-31,0.99
2014-12-31,-0.02
2014-9-30,0.14
2014-6-30,0.17
2014-3-31,0.25
2013-12-31,-0.01
2013-9-30,0.01
2013-6-30,0.14
2013-3-31,1.08
2012-12-31,1.82
2012-9-30,0.43
2012-6-30,-0.81
2012-3-31,1.97
2011-12-31,0.49
2011-9-30,-1.19
2011-6-30,0.75
2011-3-31,0.04
2010-12-31,6.85
2010-9-30,1.17
2010-6-30,-0.97
2010-3-31,0.78
2009-12-31,-0.38
2009-9-30,1.5
2009-6-30,1.67
2009-3-31,-0.59
2008-12-31,-11.79
2008-9-30,0.37
2008-6-30,0.76
2008-3-31,-0.43
2007-12-31,1.92
2007-9-30,0.02
2007-6-30,0.12
2007-3-31,0.04
2006-12-31,0.05
2006-9-30,0.27
2006-6-30,0.17
2006-3-31,0.36
2005-12-31,1.13
2005-9-30,0.47
2005-6-30,5.515
2005-3-31,0.01
2004-12-31,0.22
2004-9-30,0.335
