Date,EPS 
2016-12-31,0.85
2016-9-30,0.62
2016-6-30,1.28
2016-3-31,0.79
2015-12-31,0.82
2015-9-30,0.88
2015-6-30,0.9
2015-3-31,0.66
2014-12-31,0.28
2014-9-30,0.48
2014-6-30,0.67
2014-3-31,0.22
2013-12-31,0.3
2013-9-30,0.37
2013-6-30,0.31
2013-3-31,0.08
2012-12-31,0.11
2012-9-30,0.02
2012-6-30,0.3
2012-3-31,0.13
2011-12-31,0.2
2011-9-30,-0.18
2011-6-30,0.21
2011-3-31,0.01
2010-12-31,0.17
2010-9-30,0.27
2010-6-30,0.15
2010-3-31,0.01
2009-12-31,0.15
2009-9-30,-0.02
2009-6-30,0.12
2009-3-31,-0.12
2008-12-31,-0.08
2008-9-30,-0.16
2008-6-30,0.44
2008-3-31,0.05
2007-12-31,0.15
2007-9-30,0.22
2007-6-30,0.36
2007-3-31,0.12
2006-12-31,0.07
2006-9-30,0.06
2006-6-30,0.4
2006-3-31,0.07
2005-12-31,0.08
2005-9-30,0.26
2005-6-30,0.18
2005-3-31,0.07
2004-12-31,0.06
2004-9-30,0.15
