Date,EPS 
2017-1-31,1.54
2016-10-31,0.05
2016-7-31,0.03
2016-4-30,0.37
2016-1-31,1.66
2015-10-31,0.36
2015-7-31,0.64
2015-4-30,0.56
2015-1-31,2.21
2014-10-31,0.61
2014-7-31,0.8
2014-4-30,0.6
2014-1-31,2.12
2013-10-31,0.47
2013-7-31,0.72
2013-4-30,0.55
2013-1-31,1.79
2012-10-31,0.36
2012-7-31,0.67
2012-4-30,0.43
2012-1-31,1.74
2011-10-31,0.32
2011-7-31,0.55
2011-4-30,0.3
2011-1-31,1.56
2010-10-31,0.02
2010-7-31,0.35
2010-4-30,0.05
2010-1-31,1.05
2009-10-31,-0.08
2009-7-31,0.02
2009-4-30,-0.21
2009-1-31,-11.33
2008-10-31,-0.1
2008-7-31,0.17
2008-4-30,-0.14
2008-1-31,1.66
2007-10-31,0.08
2007-7-31,0.16
2007-4-30,0.08
2007-1-31,1.34
2006-10-31,-0.01
2006-7-31,0.57
2006-4-30,-0.09
2006-1-31,1.45
2005-10-31,0.9
2005-7-31,0.42
2005-4-30,0.36
2005-1-31,1.24
2004-10-31,0.21
