Date,EPS 
2016-12-31,0.6
2016-9-30,0.26
2016-6-30,0.96
2016-3-31,0.85
2015-12-31,0.77
2015-9-30,0.78
2015-6-30,0.87
2015-3-31,0.73
2014-12-31,0.68
2014-9-30,0.65
2014-6-30,0.64
2014-3-31,0.57
2013-12-31,0.49
2013-9-30,0.52
2013-6-30,0.57
2013-3-31,0.43
2012-12-31,0.56
2012-9-30,0.44
2012-6-30,0.42
2012-3-31,0.3
2011-12-31,0.4
2011-9-30,-0.52
2011-6-30,0.37
2011-3-31,0.26
2010-12-31,0.45
2010-9-30,0.22
2010-6-30,0.31
2010-3-31,0.22
2009-12-31,0.3
2009-9-30,-1.31
2009-6-30,0.1
2009-3-31,-0.06
2008-12-31,-0.0264
2008-9-30,0.2492
2008-6-30,0.4155
2008-3-31,0.3264
2007-12-31,0.455
2007-9-30,0.3264
2007-6-30,0.5045
2007-3-31,0.435
2006-12-31,0.5144
2006-9-30,0.3264
2006-6-30,0.4254
2006-3-31,0.6327
2005-12-31,0.5243
2005-9-30,0.3165
2005-6-30,0.2869
2005-3-31,0.3015
2004-12-31,0.3907
2004-9-30,0.277
