Date,EPS 
2016-12-31,0.5
2016-9-30,0.68
2016-6-30,-0.06
2016-3-31,-0.21
2015-12-31,0.63
2015-9-30,0.66
2015-6-30,-0.03
2015-3-31,-0.17
2014-12-31,0.43
2014-9-30,0.97
2014-6-30,0.08
2014-3-31,-0.03
2013-12-31,1.06
2013-9-30,1.21
2013-6-30,0.21
2013-3-31,0.11
2012-12-31,0.87
2012-9-30,1.04
2012-6-30,0.28
2012-3-31,0.02
2011-12-31,1.06
2011-9-30,0.86
2011-6-30,0.23
2011-3-31,0.05
2010-12-31,0.89
2010-9-30,0.77
2010-6-30,0.14
2010-3-31,0.07
2009-12-31,0.9
2009-9-30,0.63
2009-6-30,0.06
2009-3-31,-0.14
2008-12-31,0.49
2008-9-30,0.66
2008-6-30,0.03
2008-3-31,-0.13
2007-12-31,0.86
2007-9-30,0.61
2007-6-30,0.06
2007-3-31,0.03
2006-12-31,0.74
2006-9-30,0.62
2006-6-30,0.1
2006-3-31,0.08
2005-12-31,0.68
2005-9-30,0.55
2005-6-30,-0.23
2005-3-31,0.02
2004-12-31,0.67
2004-9-30,0.61
