Date,EPS 
2016-12-31,1.43
2016-9-30,1.5
2016-6-30,1.25
2016-3-31,1.23
2015-12-31,1.31
2015-9-30,1.4
2015-6-30,1.26
2015-3-31,0.84
2014-12-31,1.13
2014-9-30,1.09
2014-6-30,1.4
2014-3-31,1.21
2013-12-31,1.39
2013-9-30,1.52
2013-6-30,1.38
2013-3-31,1.26
2012-12-31,1.38
2012-9-30,1.43
2012-6-30,1.32
2012-3-31,1.23
2011-12-31,1.33
2011-9-30,1.45
2011-6-30,1.35
2011-3-31,1.15
2010-12-31,1.16
2010-9-30,1.29
2010-6-30,1.13
2010-3-31,1.0
2009-12-31,1.11
2009-9-30,1.15
2009-6-30,0.98
2009-3-31,0.87
2008-12-31,0.87
2008-9-30,1.05
2008-6-30,1.04
2008-3-31,0.81
2007-12-31,1.06
2007-9-30,0.89
2007-6-30,-0.6
2007-3-31,0.62
2006-12-31,1.0
2006-9-30,0.68
2006-6-30,0.67
2006-3-31,0.49
2005-12-31,0.48
2005-9-30,0.58
2005-6-30,0.42
2005-3-31,0.56
2004-12-31,0.31
2004-9-30,0.61
