Date,EPS 
2016-12-31,0.46
2016-9-30,0.14
2016-6-30,-0.53
2016-3-31,0.31
2015-12-31,0.28
2015-9-30,0.3
2015-6-30,0.6
2015-3-31,0.45
2014-12-31,0.39
2014-9-30,0.42
2014-6-30,0.4
2014-3-31,0.51
2013-12-31,0.48
2013-9-30,0.46
2013-6-30,0.37
2013-3-31,0.29
2012-12-31,0.05
2012-9-30,-0.11
2012-6-30,0.39
2012-3-31,0.39
2011-12-31,0.38
2011-9-30,0.4
2011-6-30,0.49
2011-3-31,0.62
2010-12-31,0.51
2010-9-30,0.54
2010-6-30,0.47
2010-3-31,0.4
2009-12-31,0.37
2009-9-30,0.24
2009-6-30,0.15
2009-3-31,0.12
2008-12-31,0.39
2008-9-30,0.4
2008-6-30,0.4
2008-3-31,0.4
2007-12-31,0.38
2007-9-30,0.27
2007-6-30,0.36
2007-3-31,0.58
2006-12-31,0.33
2006-9-30,0.36
2006-6-30,0.35
2006-3-31,0.35
2005-12-31,0.19
2005-9-30,0.31
2005-6-30,0.29
2005-3-31,0.27
2004-12-31,0.25
2004-9-30,0.29
