Date,EPS 
2016-12-31,2.85
2016-9-30,1.34
2016-6-30,2.38
2016-3-31,1.89
2015-12-31,2.73
2015-9-30,2.63
2015-6-30,2.45
2015-3-31,0.55
2014-12-31,2.0
2014-9-30,1.99
2014-6-30,1.72
2014-3-31,1.58
2013-12-31,0.28
2013-9-30,1.74
2013-6-30,1.83
2013-3-31,1.1
2012-12-31,1.24
2012-9-30,1.67
2012-6-30,1.58
2012-3-31,2.08
2011-12-31,1.2
2011-9-30,1.18
2011-6-30,1.13
2011-3-31,1.61
2010-12-31,0.6
2010-9-30,1.25
2010-6-30,1.1
2010-3-31,1.26
2009-12-31,1.19
2009-9-30,1.11
2009-6-30,1.06
2009-3-31,1.01
2008-12-31,-0.07
2008-9-30,1.17
2008-6-30,0.83
2008-3-31,1.04
2007-12-31,0.68
2007-9-30,0.83
2007-6-30,0.77
2007-3-31,0.84
2006-12-31,0.8
2006-9-30,0.75
2006-6-30,0.6
2006-3-31,0.69
2005-12-31,0.61
2005-9-30,0.53
2005-6-30,0.55
2005-3-31,0.89
2004-12-31,-2.26
2004-9-30,0.29
