Date,EPS 
2017-1-31,0.59
2016-10-31,0.8
2016-7-31,0.66
2016-4-30,0.78
2016-1-31,0.77
2015-10-31,0.36
2015-7-31,0.57
2015-4-30,-0.27
2015-1-31,0.98
2014-10-31,0.83
2014-7-31,0.87
2014-4-30,0.44
2014-1-31,0.75
2013-10-31,0.89
2013-7-31,0.93
2013-4-30,0.94
2013-1-31,0.97
2012-10-31,0.63
2012-7-31,0.83
2012-4-30,0.94
2012-1-31,0.88
2011-10-31,0.82
2011-7-31,0.77
2011-4-30,0.72
2011-1-31,0.86
2010-10-31,0.52
2010-7-31,0.76
2010-4-30,0.86
2010-1-31,0.75
2009-10-31,0.78
2009-7-31,0.4
2009-4-30,0.1
2009-1-31,0.62
2008-10-31,0.48
2008-7-31,0.64
2008-4-30,0.71
2008-1-31,0.07
2007-10-31,0.58
2007-7-31,0.59
2007-4-30,0.7
2007-1-31,0.61
2006-10-31,0.59
2006-7-31,0.51
2006-4-30,0.61
2006-1-31,0.55
2005-10-31,0.67
2005-7-31,0.26
2005-4-30,0.16
2005-1-31,0.45
2004-10-31,0.44
