Date,EPS 
2016-12-31,-1.94
2016-9-30,0.51
2016-6-30,0.06
2016-3-31,1.98
2015-12-31,0.71
2015-9-30,1.06
2015-6-30,0.92
2015-3-31,1.87
2014-12-31,1.3
2014-9-30,1.81
2014-6-30,1.17
2014-3-31,1.14
2013-12-31,0.77
2013-9-30,0.84
2013-6-30,0.43
2013-3-31,0.87
2012-12-31,0.08
2012-9-30,-0.92
2012-6-30,2.12
2012-3-31,-0.16
2011-12-31,0.9
2011-9-30,3.21
2011-6-30,1.0
2011-3-31,0.66
2010-12-31,-0.23
2010-9-30,0.32
2010-6-30,1.84
2010-3-31,0.97
2009-12-31,0.36
2009-9-30,-0.79
2009-6-30,-1.74
2009-3-31,-0.71
2008-12-31,1.22
2008-9-30,0.83
2008-6-30,1.26
2008-3-31,0.84
2007-12-31,1.43
2007-9-30,1.29
2007-6-30,1.48
2007-3-31,1.28
2006-12-31,4.96
2006-9-30,1.29
2006-6-30,0.8
2006-3-31,0.93
2005-12-31,0.88
2005-9-30,0.97
2005-6-30,3.02
2005-3-31,1.33
2004-12-31,0.68
2004-9-30,0.92
