Date,EPS 
2016-12-31,0.9
2016-9-30,0.8
2016-6-30,0.83
2016-3-31,0.39
2015-12-31,0.68
2015-9-30,0.77
2015-6-30,0.8
2015-3-31,1.02
2014-12-31,0.77
2014-9-30,0.92
2014-6-30,0.84
2014-3-31,1.0
2013-12-31,0.75
2013-9-30,0.84
2013-6-30,0.84
2013-3-31,0.92
2012-12-31,0.54
2012-9-30,0.69
2012-6-30,0.81
2012-3-31,0.8
2011-12-31,0.41
2011-9-30,0.7
2011-6-30,0.64
2011-3-31,0.71
2010-12-31,0.48
2010-9-30,0.52
2010-6-30,0.59
2010-3-31,0.61
2009-12-31,0.31
2009-9-30,0.48
2009-6-30,0.66
2009-3-31,0.55
2008-12-31,0.27
2008-9-30,0.61
2008-6-30,0.67
2008-3-31,0.77
