Date,EPS 
2016-11-30,1.23
2016-8-31,1.0
2016-5-31,0.73
2016-2-29,0.73
2015-11-30,1.16
2015-8-31,0.76
2015-5-31,0.65
2015-2-28,0.55
2014-11-30,1.13
2014-8-31,0.94
2014-5-31,0.64
2014-2-28,0.62
2013-11-30,0.97
2013-8-31,0.78
2013-5-31,0.59
2013-2-28,0.57
2012-11-30,1.11
2012-8-31,0.78
2012-5-31,0.6
2012-2-29,0.55
2011-11-30,0.98
2011-8-31,0.69
2011-5-31,0.55
2011-2-28,0.57
2010-11-30,0.99
2010-8-31,0.76
2010-5-31,0.49
2010-2-28,0.51
2009-11-30,0.88
2009-8-31,0.57
2009-5-31,0.38
2009-2-28,0.44
2008-11-30,0.62
2008-8-31,0.52
2008-5-31,0.41
2008-2-29,0.39
2007-11-30,0.66
2007-8-31,0.43
2007-5-31,0.31
2007-2-28,0.33
2006-11-30,0.62
2006-8-31,0.32
2006-5-31,0.46
2006-2-28,0.11
2005-11-30,0.65
2005-8-31,0.35
2005-5-31,0.31
2005-2-28,0.26
2004-11-30,0.62
2004-8-31,0.33
