Date,EPS 
2016-9-30,0.11
2016-6-30,-0.03
2016-3-31,0.73
2015-12-31,0.44
2015-9-30,0.45
2015-6-30,1.08
2015-3-31,0.8
2014-12-31,0.96
2014-9-30,0.54
2014-6-30,0.64
2014-3-31,0.54
2013-9-30,0.29
2013-5-31,1.13
2013-2-28,0.81
2012-11-30,1.47
2012-8-31,1.01
2012-5-31,1.18
2012-2-29,0.64
2011-11-30,1.4
2011-8-31,1.17
2011-5-31,1.45
2011-2-28,1.21
2010-11-30,2.29
2010-8-31,0.67
2010-5-31,0.88
2010-2-28,0.5
2009-11-30,0.24
2009-8-31,0.23
2009-5-31,0.33
2009-2-28,0.13
2008-11-30,2.15
2008-8-31,2.65
2008-5-31,1.93
2008-2-29,1.17
2007-11-30,0.89
2007-8-31,0.69
2007-5-31,0.46
2007-2-28,0.1
2006-11-30,0.15
2006-8-31,0.25
2006-5-31,-0.49
2006-2-28,-0.19
2005-11-30,0.13
2005-8-31,0.18
2005-5-31,0.25
2005-2-28,0.09
2004-11-30,-0.03
2004-9-30,-0.6
2004-6-30,0.32
2004-3-31,0.06
