Date,EPS 
2016-12-31,0.81
2016-9-30,0.81
2016-6-30,0.75
2016-3-31,0.55
2015-12-31,0.39
2015-9-30,0.48
2015-6-30,0.85
2015-3-31,1.18
2014-12-31,-0.9
2014-9-30,0.83
2014-6-30,0.92
2014-3-31,0.74
2013-12-31,0.02
2013-9-30,0.45
2013-6-30,0.41
2013-3-31,0.48
2012-12-31,0.3
2012-9-30,-0.55
2012-6-30,0.29
2012-3-31,-0.06
2011-12-31,-0.22
2011-9-30,1.15
2011-6-30,-0.38
2011-3-31,0.5
2010-12-31,0.42
2010-9-30,-0.07
2010-6-30,1.09
2010-3-31,0.99
2009-12-31,0.36
2009-9-30,0.38
2009-6-30,-1.1
2009-3-31,-0.57
2008-11-30,-2.29
2008-8-31,1.32
2008-5-31,0.95
2008-2-29,1.45
2007-11-30,-3.6
2007-8-31,1.44
2007-5-31,2.45
2007-2-28,2.51
2006-11-30,2.08
2006-8-31,1.75
2006-5-31,1.75
2006-2-28,1.48
2005-11-30,2.28
2005-8-31,0.13
2005-5-31,0.86
2005-2-28,1.29
2004-11-30,1.09
2004-8-31,0.76
