Date,EPS 
2016-11-30,0.16
2016-8-31,-0.17
2016-5-31,-0.21
2016-2-29,-0.09
2015-11-30,0.19
2015-8-31,0.42
2015-5-31,0.42
2015-2-28,0.78
2014-11-30,0.84
2014-8-31,0.96
2014-5-31,0.68
2014-2-28,0.61
2013-11-30,0.3
2013-8-31,1.64
2013-5-31,0.04
2013-2-28,-0.28
2012-11-30,-0.27
2012-8-31,-0.24
2012-5-31,-0.32
2012-2-29,-0.29
2011-11-30,-0.19
2011-8-31,-0.14
2011-5-31,0.07
2011-2-28,0.07
2010-11-30,0.15
2010-8-31,0.3
2010-5-31,0.92
2010-2-28,0.39
2009-11-30,0.23
2009-8-31,-0.08
2009-5-31,-0.37
2009-2-28,-0.99
2008-11-30,-0.91
2008-8-31,-0.45
2008-5-31,-0.3
2008-2-29,-1.01
2007-11-30,-0.34
2007-8-31,-0.21
2007-5-31,-0.29
2007-2-28,-0.07
2006-11-30,0.15
2006-8-31,0.08
2006-5-31,0.12
2006-2-28,0.27
2005-11-30,0.09
2005-8-31,0.07
2005-5-31,-0.2
2005-2-28,0.17
2004-11-30,0.23
2004-8-31,0.14
