Date,EPS 
2016-12-31,-0.36
2016-9-30,-0.09
2016-6-30,0.02
2016-3-31,-1.16
2015-12-31,-3.41
2015-9-30,-9.26
2015-6-30,-0.42
2015-3-31,-0.08
2014-12-31,2.09
2014-9-30,1.37
2014-6-30,0.72
2014-3-31,0.85
2013-12-31,0.43
2013-9-30,1.51
2013-6-30,2.12
2013-3-31,1.88
2012-12-31,0.82
2012-9-30,1.16
2012-6-30,1.52
2012-3-31,1.49
2011-12-31,-0.59
2011-9-30,2.09
2011-6-30,1.6
2011-3-31,1.38
2010-12-31,0.89
2010-9-30,1.05
2010-6-30,1.41
2010-3-31,0.77
2009-12-31,1.65
2009-9-30,0.98
2009-6-30,0.83
2009-3-31,0.89
2008-12-31,0.67
2008-9-30,3.04
2008-6-30,3.22
2008-3-31,2.14
2007-12-31,1.07
2007-9-30,1.04
2007-6-30,1.32
2007-3-31,0.58
2006-12-31,0.47
2006-9-30,1.18
2006-6-30,1.14
2006-3-31,0.61
2005-12-31,0.86
2005-9-30,1.23
2005-6-30,1.85
2005-3-31,0.6
2004-12-31,0.73
2004-9-30,0.63
