Date,EPS 
2016-12-31,-0.59
2016-9-30,-0.33
2016-6-30,-0.73
2016-3-31,-0.67
2015-12-31,-5.02
2015-9-30,-0.67
2015-6-30,-0.28
2015-3-31,-0.06
2014-12-31,1.06
2014-9-30,1.12
2014-6-30,0.52
2014-3-31,0.55
2013-12-31,0.36
2013-9-30,0.56
2013-6-30,1.04
2013-3-31,0.72
2012-12-31,0.71
2012-9-30,0.61
2012-6-30,0.79
2012-3-31,0.735
2011-12-31,-0.845
2011-9-30,1.195
2011-6-30,0.805
2011-3-31,0.04
2010-12-31,0.145
2010-9-30,0.655
2010-6-30,0.55
2010-3-31,0.67
2009-12-31,0.025
2009-9-30,0.305
2009-6-30,-0.165
2009-3-31,-0.545
2008-12-31,0.86
2008-9-30,2.685
2008-6-30,-0.42
2008-3-31,0.6
2007-12-31,0.865
2007-9-30,0.64
2007-6-30,0.605
2007-3-31,0.61
2006-12-31,0.47
2006-9-30,0.875
2006-6-30,-0.085
2006-3-31,0.63
2005-12-31,0.64
2005-9-30,0.495
2005-6-30,0.455
2005-3-31,0.46
2004-12-31,0.37
2004-9-30,0.35
