Date,EPS 
2016-12-31,2.06
2016-9-30,1.62
2016-6-30,1.16
2016-3-31,1.37
2015-12-31,1.09
2015-9-30,1.93
2015-6-30,1.59
2015-3-31,1.45
2014-12-31,2.0
2014-9-30,1.5
2014-6-30,1.12
2014-3-31,0.98
2013-12-31,0.75
2013-9-30,1.64
2013-6-30,1.44
2013-3-31,0.64
2012-12-31,1.01
2012-9-30,0.98
2012-6-30,1.45
2012-3-31,1.11
2011-12-31,1.59
2011-9-30,0.97
2011-6-30,1.38
2011-3-31,0.64
2010-12-31,0.63
2010-9-30,1.74
2010-6-30,1.01
2010-3-31,1.36
2009-12-31,0.85
2009-9-30,1.31
2009-6-30,0.91
2009-3-31,0.9
2008-12-31,1.01
2008-9-30,1.92
2008-6-30,0.52
2008-3-31,0.62
2007-12-31,0.55
2007-9-30,1.33
2007-6-30,1.01
2007-3-31,0.38
2006-12-31,0.67
2006-9-30,1.32
2006-6-30,0.6
2006-3-31,0.64
2005-12-31,0.57
2005-9-30,0.87
2005-6-30,0.52
2005-3-31,0.36
2004-12-31,0.495
2004-9-30,0.88
