Date,EPS 
2016-12-31,-0.65
2016-9-30,-0.67
2016-6-30,0.04
2016-3-31,0.1
2015-12-31,-0.5
2015-9-30,0.42
2015-6-30,0.14
2015-3-31,0.37
2014-12-31,0.03
2014-9-30,0.43
2014-6-30,0.36
2014-3-31,0.2
2013-12-31,-2.38
2013-9-30,0.8
2013-6-30,-4.14
2013-3-31,0.63
2012-12-31,1.34
2012-9-30,0.74
2012-6-30,0.56
2012-3-31,0.97
2011-12-31,-2.08
2011-9-30,0.98
2011-6-30,0.77
2011-3-31,1.03
2010-12-31,1.61
2010-9-30,1.07
2010-6-30,0.77
2010-3-31,1.11
2009-12-31,1.14
2009-9-30,0.79
2009-6-30,0.33
2009-3-31,0.4
2008-12-31,0.01
2008-9-30,0.42
2008-6-30,0.59
2008-3-31,0.8
2007-12-31,-0.64
2007-9-30,0.88
2007-6-30,-4.57
2007-3-31,0.15
2006-12-31,0.49
2006-9-30,0.44
2006-6-30,0.36
2006-3-31,0.46
2005-12-31,0.14
2005-9-30,0.28
2005-6-30,0.11
2005-3-31,0.19
2004-12-31,0.424
2004-9-30,0.2886
