Date,EPS 
2016-9-30,0.12
2016-6-30,0.09
2016-3-31,0.06
2015-12-31,0.1
2015-9-30,0.07
2015-6-30,0.06
2015-3-31,0.05
2014-12-31,0.19
2014-9-30,0.14
2014-6-30,0.16
2014-3-31,0.1229
2013-12-31,0.1086
2013-9-30,0.0743
2013-6-30,0.07
2013-3-31,0.0071
2012-12-31,0.0186
2012-9-30,0.0186
2012-6-30,0.0157
2012-3-31,-0.0114
2011-12-31,0.09
2011-9-30,0.1657
2011-6-30,0.18
2011-3-31,0.1586
2010-12-31,0.1243
2010-9-30,0.1
2010-6-30,0.1143
2010-3-31,0.0843
2009-12-31,0.0786
2009-9-30,0.0743
2009-6-30,0.0771
2009-3-31,0.0529
2008-12-31,0.0529
2008-9-30,0.0471
2008-6-30,0.06
2008-3-31,0.03
2007-12-31,0.0329
2007-9-30,0.0329
2007-6-30,0.0514
2007-3-31,0.02
2006-12-31,0.03
2006-9-30,0.0257
2006-6-30,0.0357
2006-3-31,0.01
2005-12-31,0.0829
2005-9-30,0.0157
2005-6-30,0.0129
2005-3-31,-0.0243
2004-12-31,0.0114
2004-9-30,0.0414
2004-6-30,0.0057
