Date,EPS 
2016-12-31,0.14
2016-9-30,0.24
2016-6-30,-3.36
2016-3-31,-3.52
2015-12-31,-4.01
2015-9-30,-7.52
2015-6-30,-6.09
2015-3-31,-3.3
2014-12-31,2.6
2014-9-30,2.02
2014-6-30,-0.16
2014-3-31,2.07
2013-12-31,0.13
2013-9-30,0.05
2013-6-30,0.82
2013-3-31,-0.06
2012-12-31,-10.42
2012-9-30,-0.24
2012-6-30,1.0
2012-3-31,0.86
2011-12-31,0.5
2011-9-30,1.99
2011-6-30,1.62
2011-3-31,-0.13
2010-12-31,0.16
2010-9-30,1.2
2010-6-30,0.72
2010-3-31,1.84
2009-12-31,0.88
2009-9-30,0.58
2009-6-30,-0.3
2009-3-31,-5.35
2008-12-31,-6.1
2008-9-30,5.48
2008-6-30,-1.89
2008-3-31,-0.5
2007-12-31,2.39
2007-9-30,0.64
2007-6-30,1.15
2007-3-31,-0.75
2006-12-31,0.63
2006-9-30,2.06
2006-6-30,0.73
2006-3-31,1.17
2005-12-31,1.44
2005-9-30,0.0
2005-6-30,0.82
2005-3-31,0.47
2004-12-31,0.72
2004-9-30,0.63
