Date,EPS 
2016-12-31,-1.9
2016-9-30,-3.62
2016-6-30,-0.58
2016-3-31,-0.32
2015-12-31,-3.91
2015-9-30,0.41
2015-6-30,0.74
2015-3-31,0.76
2014-12-31,1.39
2014-9-30,1.62
2014-6-30,1.44
2014-3-31,1.37
2013-12-31,1.54
2013-9-30,1.49
2013-6-30,1.24
2013-3-31,1.17
2012-12-31,1.55
2012-9-30,1.43
2012-6-30,1.42
2012-3-31,1.42
2011-12-31,1.35
2011-9-30,1.25
2011-6-30,1.13
2011-3-31,0.96
2010-12-31,1.05
2010-9-30,0.96
2010-6-30,0.96
2010-3-31,1.01
2009-12-31,0.94
2009-9-30,0.92
2009-6-30,0.53
2009-3-31,1.13
2008-12-31,1.42
2008-9-30,1.31
2008-6-30,1.04
2008-3-31,1.11
2007-12-31,1.05
2007-9-30,1.02
2007-6-30,0.895
2007-3-31,0.78
2006-12-31,0.675
2006-9-30,0.5
2006-6-30,0.42
2006-3-31,0.34
2005-12-31,0.3
2005-9-30,0.25
2005-6-30,0.175
2005-3-31,0.165
2004-12-31,0.315
2004-9-30,0.16
