Date,EPS 
2016-12-31,1.41
2016-9-30,1.55
2016-6-30,1.36
2016-3-31,1.29
2015-12-31,1.2
2015-9-30,1.49
2015-6-30,1.41
2015-3-31,1.0
2014-12-31,1.64
2014-9-30,1.79
2014-6-30,1.79
2014-3-31,1.17
2013-12-31,1.64
2013-9-30,1.53
2013-6-30,1.46
2013-3-31,1.41
2012-12-31,1.3
2012-9-30,1.24
2012-6-30,1.6
2012-3-31,1.23
2011-12-31,1.42
2011-9-30,1.59
2011-6-30,1.56
2011-3-31,0.9
2010-12-31,1.09
2010-9-30,1.19
2010-6-30,1.04
2010-3-31,0.68
2009-12-31,0.82
2009-9-30,0.81
2009-6-30,0.66
2009-3-31,0.47
2008-12-31,1.22
2008-9-30,1.37
2008-6-30,1.18
2008-3-31,0.76
2007-12-31,1.02
2007-9-30,0.97
2007-6-30,0.98
2007-3-31,0.71
2006-12-31,0.95
2006-9-30,1.02
2006-6-30,0.89
2006-3-31,0.72
2005-12-31,0.87
2005-9-30,0.73
2005-6-30,1.04
2005-3-31,0.47
2004-12-31,0.65
2004-9-30,0.72
