Date,EPS 
2017-1-31,0.52
2016-10-31,0.38
2016-7-31,0.23
2016-4-30,-0.02
2016-1-31,0.52
2015-10-31,0.39
2015-7-31,-0.1
2015-4-30,0.43
2015-1-31,0.56
2014-10-31,0.49
2014-7-31,0.27
2014-4-30,0.58
2014-1-31,0.55
2013-10-31,0.48
2013-7-31,0.23
2013-4-30,0.47
2013-1-31,0.43
2012-10-31,0.3
2012-7-31,0.17
2012-4-30,0.48
2012-1-31,0.32
2011-10-31,0.44
2011-7-31,0.34
2011-4-30,0.4
2011-1-31,0.46
2010-10-31,0.45
2010-7-31,0.4
2010-4-30,0.4
2010-1-31,0.3
2009-10-31,0.27
2009-7-31,0.15
2009-4-30,0.2
2009-1-31,-0.25
2008-10-31,0.15
2008-7-31,0.11
2008-4-30,0.26
2008-1-31,0.29
2007-10-31,0.23
2007-7-31,0.09
2007-4-30,0.24
2007-1-31,0.17
2006-10-31,0.22
2006-7-31,0.14
2006-4-30,0.15
2006-1-31,0.2
2005-10-31,0.18
2005-7-31,0.16
2005-4-30,0.16
2005-1-31,0.16
2004-10-31,0.15
