Date,EPS 
2016-12-31,1.11
2016-9-30,1.08
2016-6-30,1.09
2016-3-31,1.01
2015-12-31,0.99
2015-9-30,0.96
2015-6-30,1.1
2015-3-31,0.94
2014-12-31,0.98
2014-9-30,0.84
2014-6-30,0.75
2014-3-31,0.75
2013-12-31,0.7
2013-9-30,0.84
2013-6-30,0.78
2013-3-31,0.67
2012-12-31,0.69
2012-9-30,0.73
2012-6-30,0.73
2012-3-31,0.66
2011-12-31,0.4292
2011-9-30,0.7
2011-6-30,0.62
2011-3-31,0.61
2010-12-31,0.64
2010-9-30,0.64
2010-6-30,0.82
2010-3-31,0.64
2009-12-31,0.82
2009-9-30,0.77
2009-6-30,0.95
2009-3-31,0.61
2008-12-31,1.47
2008-9-30,-0.66
2008-6-30,0.96
2008-3-31,1.71
2007-12-31,0.55
2007-9-30,0.93
2007-6-30,0.92
2007-3-31,0.84
2006-12-31,0.77
2006-9-30,0.74
2006-6-30,0.76
2006-3-31,0.74
2005-12-31,0.67
2005-9-30,0.67
2005-6-30,0.68
2005-3-31,0.63
2004-12-31,0.6
2004-9-30,0.52
