Date,EPS 
2016-12-31,0.34
2016-9-30,0.38
2016-6-30,0.3
2016-3-31,0.15
2015-12-31,0.05
2015-9-30,0.5
2015-6-30,0.55
2015-3-31,0.2
2014-12-31,0.19
2014-9-30,0.44
2014-6-30,0.54
2014-3-31,0.19
2013-12-31,0.41
2013-9-30,0.66
2013-6-30,0.37
2013-3-31,0.19
2012-12-31,0.35
2012-9-30,0.37
2012-6-30,0.38
2012-3-31,0.27
2011-12-31,0.27
2011-9-30,-0.61
2011-6-30,0.49
2011-3-31,0.25
2010-12-31,0.26
2010-9-30,0.09
2010-6-30,0.41
2010-3-31,0.19
2009-12-31,0.19
2009-9-30,0.28
2009-6-30,0.37
2009-3-31,0.12
2008-12-31,-0.92
2008-9-30,0.2
2008-6-30,0.33
2008-3-31,0.2
2007-12-31,0.38
2007-9-30,0.61
2007-6-30,0.51
2007-3-31,0.18
2006-12-31,0.37
2006-9-30,0.39
2006-6-30,0.43
2006-3-31,0.21
2005-12-31,0.28
2005-9-30,0.27
2005-6-30,0.24
2005-3-31,0.13
2004-12-31,0.4574
2004-9-30,-0.83
