Date,EPS 
2016-12-31,-0.43
2016-9-30,0.66
2016-6-30,0.64
2016-3-31,0.41
2015-12-31,0.03
2015-9-30,0.1
2015-6-30,0.25
2015-3-31,0.44
2014-12-31,-0.67
2014-9-30,0.37
2014-6-30,0.68
2014-3-31,0.61
2013-12-31,-0.09
2013-9-30,0.78
2013-6-30,0.79
2013-3-31,0.42
2012-12-31,-0.96
2012-9-30,0.54
2012-6-30,0.8
2012-3-31,0.72
2011-12-31,-4.7
2011-9-30,0.7
2011-6-30,0.43
2011-3-31,0.5
2010-12-31,-2.5
2010-9-30,0.84
2010-6-30,0.85
2010-3-31,0.5
2009-12-31,-0.95
2009-9-30,0.74
2009-6-30,0.88
2009-3-31,0.27
2008-12-31,-1.44
2008-9-30,0.46
2008-6-30,1.35
2008-3-31,1.04
2007-12-31,-0.19
2007-9-30,6.86
2007-6-30,0.89
2007-3-31,0.3
2006-12-31,-0.71
2006-9-30,0.02
2006-6-30,0.24
2006-3-31,0.12
2005-12-31,-5.88
2005-9-30,0.75
2005-6-30,0.53
2005-3-31,0.73
2004-12-31,0.11
2004-9-30,0.47
