Date,EPS 
2016-12-31,2.59
2016-9-30,2.9
2016-6-30,2.65
2016-3-31,2.59
2015-12-31,2.19
2015-9-30,2.64
2015-6-30,2.29
2015-3-31,2.06
2014-12-31,1.76
2014-9-30,2.06
2014-6-30,1.91
2014-3-31,1.61
2013-12-31,1.4
2013-9-30,1.69
2013-6-30,1.58
2013-3-31,1.36
2012-12-31,1.15
2012-9-30,1.32
2012-6-30,1.15
2012-3-31,1.14
2011-12-31,0.95
2011-9-30,1.1
2011-6-30,0.96
2011-3-31,0.72
2010-12-31,0.72
2010-9-30,0.82
2010-6-30,0.71
2010-3-31,0.7
2009-12-31,0.52
2009-9-30,0.63
2009-6-30,0.62
2009-3-31,0.46
2008-12-31,0.3
2008-9-30,0.31
2008-6-30,0.48
2008-3-31,0.4
2007-12-31,0.35
2007-9-30,0.46
2007-6-30,0.45
2007-3-31,0.42
2006-12-31,0.35
2006-9-30,0.42
2006-6-30,0.43
2006-3-31,0.35
2005-12-31,0.35
2005-9-30,0.42
2005-6-30,0.38
2005-3-31,0.3
2004-12-31,0.415
2004-9-30,0.3
