Date,EPS 
2016-12-31,-0.35
2016-9-30,-0.32
2016-6-30,-0.18
2016-3-31,0.1
2015-12-31,-6.77
2015-9-30,-3.42
2015-6-30,0.23
2015-3-31,-0.28
2014-12-31,-4.34
2014-9-30,1.55
2014-6-30,1.82
2014-3-31,1.75
2013-12-31,2.04
2013-9-30,1.96
2013-6-30,1.64
2013-3-31,1.68
2012-12-31,0.42
2012-9-30,1.69
2012-6-30,1.64
2012-3-31,1.92
2011-12-31,2.01
2011-9-30,2.17
2011-6-30,2.23
2011-3-31,1.9
2010-12-31,1.49
2010-9-30,1.46
2010-6-30,1.31
2010-3-31,1.31
2009-12-31,1.15
2009-9-30,1.14
2009-6-30,0.84
2009-3-31,0.45
2008-12-31,0.55
2008-9-30,2.78
2008-6-30,2.78
2008-3-31,2.22
2007-12-31,1.75
2007-9-30,1.58
2007-6-30,1.68
2007-3-31,1.43
2006-12-31,1.09
2006-9-30,1.36
2006-6-30,0.99
2006-3-31,1.43
2005-12-31,1.415
2005-9-30,2.12
2005-6-30,1.885
2005-3-31,1.04
2004-12-31,0.515
2004-9-30,0.94
