Date,EPS 
2016-11-30,0.56
2016-8-31,0.6
2016-5-31,0.49
2016-2-29,0.5
2015-11-30,0.52
2015-8-31,0.58
2015-5-31,0.44
2015-2-28,0.46
2014-11-30,0.47
2014-8-31,0.47
2014-5-31,0.4
2014-2-28,0.44
2013-11-30,0.43
2013-8-31,0.44
2013-5-31,0.33
2013-2-28,0.4
2012-11-30,0.41
2012-8-31,0.42
2012-5-31,0.34
2012-2-29,0.37
2011-11-30,0.39
2011-8-31,0.41
2011-5-31,0.32
2011-2-28,0.36
2010-11-30,0.37
2010-8-31,0.36
2010-5-31,0.32
2010-2-28,0.31
2009-11-30,0.35
2009-8-31,0.34
2009-5-31,0.32
2009-2-28,0.36
2008-11-30,0.39
2008-8-31,0.41
2008-5-31,0.37
2008-2-29,0.39
2007-11-30,0.4
2007-8-31,0.4
2007-5-31,0.31
2007-2-28,0.33
2006-11-30,0.35
2006-8-31,0.35
2006-5-31,0.32
2006-2-28,0.3
2005-11-30,0.3
2005-8-31,0.3
2005-5-31,0.26
2005-2-28,0.24
2004-11-30,0.23
2004-8-31,0.23
