Date,EPS 
2016-12-31,-0.45
2016-9-30,0.35
2016-6-30,0.28
2016-3-31,0.3
2015-12-31,0.44
2015-9-30,0.44
2015-6-30,0.75
2015-3-31,0.4
2014-12-31,0.31
2014-9-30,0.65
2014-6-30,0.46
2014-3-31,0.22
2013-12-31,0.44
2013-9-30,-0.03
2013-6-30,-0.05
2013-3-31,0.33
2012-12-31,0.55
2012-9-30,0.38
2012-6-30,0.5
2012-3-31,0.79
2011-12-31,1.28
2011-9-30,0.85
2011-6-30,0.49
2011-3-31,0.42
2010-12-31,0.3
2010-9-30,0.43
2010-6-30,0.3
2010-3-31,0.38
2009-12-31,0.47
2009-9-30,0.5
2009-6-30,0.57
2009-3-31,0.5
2008-12-31,0.36
2008-9-30,0.47
2008-6-30,0.61
2008-3-31,0.56
2007-12-31,-0.26
2007-9-30,0.58
2007-6-30,0.68
2007-3-31,0.65
2006-12-31,0.71
2006-9-30,0.66
2006-6-30,-1.59
2006-3-31,0.67
2005-12-31,0.39
2005-9-30,0.6
2005-6-30,0.58
2005-3-31,0.62
2004-12-31,0.27
2004-9-30,0.58
