Date,EPS 
2016-12-31,0.82
2016-9-30,0.98
2016-6-30,1.37
2016-3-31,-1.69
2015-12-31,0.98
2015-9-30,1.21
2015-6-30,1.26
2015-3-31,1.06
2014-12-31,1.11
2014-9-30,1.04
2014-6-30,0.9
2014-3-31,0.77
2013-12-31,0.94
2013-9-30,0.87
2013-6-30,0.82
2013-3-31,0.67
2012-12-31,0.71
2012-9-30,0.66
2012-6-30,0.83
2012-3-31,0.91
2011-12-31,0.91
2011-9-30,0.77
2011-6-30,0.65
2011-3-31,0.53
2010-12-31,0.46
2010-9-30,0.33
2010-6-30,0.27
2010-3-31,0.19
2009-12-31,0.13
2009-9-30,0.04
2009-6-30,0.07
2009-3-31,0.07
2008-12-31,0.31
2008-9-30,0.82
2008-6-30,0.86
2008-3-31,0.79
2007-12-31,0.71
2007-9-30,0.81
2007-6-30,0.79
2007-3-31,0.9733
2006-12-31,1.017
2006-9-30,1.073
2006-6-30,0.9822
2006-3-31,0.9
2005-12-31,0.8133
2005-9-30,0.7867
2005-6-30,0.6178
2005-3-31,0.6933
2004-12-31,0.6133
2004-9-30,0.6267
