Date,EPS 
2016-12-31,13.46
2016-9-30,10.13
2016-6-30,11.6
2016-3-31,7.47
2015-12-31,10.05
2015-9-30,23.41
2015-6-30,9.94
2015-3-31,6.36
2014-12-31,8.54
2014-9-30,20.03
2014-6-30,10.89
2014-3-31,6.25
2013-12-31,7.11
2013-9-30,15.72
2013-6-30,8.39
2013-3-31,4.76
2012-12-31,5.61
2012-9-30,11.66
2012-6-30,6.88
2012-3-31,3.54
2011-12-31,4.4
2011-9-30,9.17
2011-6-30,5.02
2011-3-31,2.05
2010-12-31,2.65
2010-9-30,4.41
2010-6-30,2.26
2010-3-31,1.06
2009-12-31,1.46
2009-9-30,6.42
2009-6-30,1.38
2009-3-31,0.53
2008-12-31,0.74
2008-9-30,1.74
2008-6-30,1.0
2008-3-31,0.28
2007-12-31,0.63
2007-9-30,2.27
2007-6-30,0.79
2007-3-31,-0.44
2006-12-31,0.34
2006-9-30,1.05
2006-6-30,0.28
2006-3-31,-0.02
2005-12-31,0.08
2005-9-30,3.71
2005-6-30,0.29
2005-3-31,0.1
2004-12-31,0.12
2004-9-30,0.23
