Date,EPS 
2016-9-30,1.37
2016-6-30,1.38
2016-3-31,0.64
2015-12-31,1.17
2015-9-30,0.36
2015-6-30,1.33
2015-3-31,0.81
2014-12-31,0.87
2014-9-30,1.32
2014-6-30,1.29
2014-3-31,0.79
2013-12-31,1.12
2013-9-30,1.23
2013-6-30,1.28
2013-3-31,0.69
2012-12-31,1.06
2012-9-30,1.21
2012-6-30,0.94
2012-3-31,0.71
2011-12-31,0.89
2011-9-30,1.25
2011-6-30,1.17
2011-3-31,0.71
2010-12-31,0.85
2010-9-30,1.19
2010-6-30,0.98
2010-3-31,0.89
2009-12-31,0.9
2009-9-30,1.09
2009-6-30,1.06
2009-3-31,0.72
2008-12-31,0.47
2008-9-30,0.99
2008-6-30,1.05
2008-3-31,0.7
2007-12-31,0.77
2007-9-30,1.06
2007-6-30,0.94
2007-3-31,0.65
2006-12-31,1.08
2006-9-30,0.89
2006-6-30,0.81
2006-3-31,0.56
2005-12-31,0.65
2005-9-30,0.51
2005-6-30,0.7
2005-3-31,0.53
2004-12-31,0.58
2004-9-30,0.79
2004-6-30,0.61
