Date,EPS 
2016-12-31,1.09
2016-9-30,1.06
2016-6-30,1.1
2016-3-31,1.25
2015-12-31,0.86
2015-9-30,1.01
2015-6-30,0.81
2015-3-31,1.39
2014-12-31,0.9
2014-9-30,0.77
2014-6-30,1.03
2014-3-31,0.95
2013-12-31,0.78
2013-9-30,0.82
2013-6-30,0.75
2013-3-31,0.61
2012-12-31,0.73
2012-9-30,0.63
2012-6-30,0.56
2012-3-31,0.68
2011-12-31,0.44
2011-9-30,0.23
2011-6-30,0.67
2011-3-31,0.56
2010-12-31,0.5
2010-9-30,0.44
2010-6-30,0.42
2010-3-31,0.59
2009-12-31,0.43
2009-9-30,0.57
2009-6-30,0.52
2009-3-31,0.43
2008-12-31,-0.03
2008-9-30,0.35
2008-6-30,0.64
2008-3-31,0.67
2007-12-31,0.15
2007-9-30,0.87
2007-6-30,1.12
2007-3-31,0.95
2006-12-31,1.04
2006-9-30,0.92
2006-6-30,0.76
2006-3-31,1.01
2005-12-31,0.88
2005-9-30,0.74
2005-6-30,0.82
2005-3-31,0.68
2004-12-31,0.7
2004-9-30,0.95
