Date,EPS 
2016-12-31,1.78
2016-9-30,1.55
2016-6-30,1.77
2016-3-31,1.37
2015-12-31,1.33
2015-9-30,1.41
2015-6-30,1.29
2015-3-31,2.02
2014-12-31,1.8
2014-9-30,1.85
2014-6-30,1.99
2014-3-31,1.6
2013-12-31,1.66
2013-9-30,1.61
2013-6-30,1.8
2013-3-31,1.68
2012-12-31,1.19
2012-9-30,1.57
2012-6-30,1.96
2012-3-31,2.01
2011-12-31,1.56
2011-9-30,1.91
2011-6-30,1.79
2011-3-31,1.68
2010-12-31,1.39
2010-9-30,1.51
2010-6-30,1.36
2010-3-31,0.94
2009-12-31,0.64
2009-9-30,0.45
2009-6-30,0.32
2009-3-31,0.33
2008-12-31,0.96
2008-9-30,1.5
2008-6-30,1.48
2008-3-31,1.49
2007-12-31,1.23
2007-9-30,1.33
2007-6-30,1.233
2007-3-31,1.187
2006-12-31,1.09
2006-9-30,1.17
2006-6-30,1.067
2006-3-31,0.9733
2005-12-31,0.7133
2005-9-30,0.9533
2005-6-30,0.8933
2005-3-31,0.7667
2004-12-31,0.94
2004-9-30,0.74
