Date,EPS 
2016-9-30,0.52
2016-6-30,0.52
2016-3-31,0.39
2015-12-31,0.23
2015-9-30,0.49
2015-6-30,0.27
2015-3-31,0.65
2014-12-31,0.81
2014-9-30,0.23
2014-6-30,0.13
2014-3-31,0.01
2013-12-31,0.11
2013-9-30,-0.02
2013-6-30,0.0
2013-3-31,0.57
2012-12-31,-0.5
2012-9-30,-0.1
2012-6-30,-0.02
2012-3-31,0.44
2011-12-31,-0.09
2011-9-30,0.12
2011-6-30,-0.49
2011-3-31,-0.18
2010-12-31,-5.29
2010-9-30,-0.07
2010-6-30,-0.11
2010-3-31,-0.03
2009-12-31,-0.04
2009-9-30,0.43
2009-6-30,0.12
2009-3-31,-1.24
2008-12-31,-2.07
2008-9-30,0.24
2008-6-30,0.73
2008-3-31,0.39
2007-12-31,0.92
2007-9-30,0.69
2007-6-30,1.1
2007-3-31,0.23
2006-12-31,0.91
2006-9-30,0.33
2006-6-30,0.8
2006-3-31,0.26
2005-12-31,1.58
2005-9-30,0.31
2005-6-30,0.45
2005-3-31,0.52
2004-12-31,0.66
2004-9-30,0.35
2004-6-30,0.2
