Date,EPS 
2016-12-31,1.1
2016-9-30,1.25
2016-6-30,1.15
2016-3-31,0.98
2015-12-31,0.8
2015-9-30,1.25
2015-6-30,1.21
2015-3-31,1.16
2014-12-31,1.03
2014-9-30,1.38
2014-6-30,1.17
2014-3-31,1.18
2013-12-31,1.24
2013-9-30,1.44
2013-6-30,1.3
2013-3-31,1.28
2012-12-31,1.25
2012-9-30,1.32
2012-6-30,1.36
2012-3-31,1.25
2011-12-31,1.09
2011-9-30,1.35
2011-6-30,1.35
2011-3-31,1.06
2010-12-31,0.96
2010-9-30,0.99
2010-6-30,1.07
2010-3-31,0.9
2009-12-31,0.8
2009-9-30,0.93
2009-6-30,0.79
2009-3-31,0.74
2008-12-31,0.71
2008-9-30,1.01
2008-6-30,0.8
2008-3-31,0.79
2007-12-31,0.65
2007-9-30,0.82
2007-6-30,0.7
2007-3-31,0.69
2006-12-31,0.7245
2006-9-30,0.7287
2006-6-30,0.7287
2006-3-31,0.7287
