Date,EPS 
2016-12-31,1.97
2016-9-30,1.84
2016-6-30,1.82
2016-3-31,1.68
2015-12-31,1.87
2015-9-30,1.9
2015-6-30,1.88
2015-3-31,1.75
2014-12-31,1.85
2014-9-30,1.79
2014-6-30,1.85
2014-3-31,1.82
2013-12-31,1.87
2013-9-30,1.77
2013-6-30,1.98
2013-3-31,1.74
2012-12-31,1.22
2012-9-30,1.64
2012-6-30,0.98
2012-3-31,1.44
2011-12-31,0.85
2011-9-30,1.55
2011-6-30,1.67
2011-3-31,1.57
2010-12-31,1.5
2010-9-30,2.07
2010-6-30,1.47
2010-3-31,0.66
2009-12-31,2.19
2009-9-30,1.0
2009-6-30,0.14
2009-3-31,1.03
2008-12-31,-0.79
2008-9-30,0.7
2008-6-30,1.45
2008-3-31,1.09
2007-12-31,0.5
2007-9-30,1.19
2007-6-30,1.22
2007-3-31,1.46
2006-12-31,1.27
2006-9-30,5.01
2006-6-30,1.28
2006-3-31,1.19
2005-12-31,1.2
2005-9-30,1.14
2005-6-30,0.98
2005-3-31,1.24
2004-12-31,1.08
2004-9-30,0.91
